degree_institution_name,degree_type,degree_year,degree_advisor,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
University of Washington,BS,1920,,Echo Delores Pepper,"June 3, 1897","January 5, 1979","Spokane, Washington, USA",1897,1979.0
University of Washington,MS,1922,,Echo Delores Pepper,"June 3, 1897","January 5, 1979","Spokane, Washington, USA",1897,1979.0
University of Chicago,PhD,1925,Leonard Eugene Dickson,Echo Delores Pepper,"June 3, 1897","January 5, 1979","Spokane, Washington, USA",1897,1979.0
Smith College,BA,1886,,Leona May Peirce,"August 4, 1863","September 27, 1954","Norway, Maine",1863,1954.0
Smith College,MA,1893,,Leona May Peirce,"August 4, 1863","September 27, 1954","Norway, Maine",1863,1954.0
Yale University,PhD,1899,William Edward Story,Leona May Peirce,"August 4, 1863","September 27, 1954","Norway, Maine",1863,1954.0
University of Pittsburgh,BA,1926,,Mary Margaret Taylor Speer,"March 27, 1906","November 23, 1966","Midway, Pennsylvania",1906,1966.0
University of Pittsburgh,MA,1928,,Mary Margaret Taylor Speer,"March 27, 1906","November 23, 1966","Midway, Pennsylvania",1906,1966.0
University of Pittsburgh,PhD,1935,Forest Almos Foraker,Mary Margaret Taylor Speer,"March 27, 1906","November 23, 1966","Midway, Pennsylvania",1906,1966.0
Ohio University,BS,1903,,Elizabeth Ruth Grennan (Bennett),"October 9, 1880","October 15, 1972","Shawnee, Monroe County, Pennsylvania",1880,1972.0
University of Illinois,MA,1908,,Elizabeth Ruth Grennan (Bennett),"October 9, 1880","October 15, 1972","Shawnee, Monroe County, Pennsylvania",1880,1972.0
University of Illinois,PhD,1910,George Abram Miller,Elizabeth Ruth Grennan (Bennett),"October 9, 1880","October 15, 1972","Shawnee, Monroe County, Pennsylvania",1880,1972.0
Western College for Women,BA,1904,,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
University of Chicago,MS,1922,Gilbert Ames Bliss,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
University of Chicago,PhD,1928,Gilbert Ames Bliss,Rosa Lea Jackson,"May 7, 1883","January 15, 1967","Ripley, Tennessee",1883,1967.0
University of Kansas,BA,1927,,Sister Ann Elizabeth Shea,"September 19, 1900","May 14, 1957","St. Joseph, Missouri",1900,1957.0
University of Wisconsin,MA,1931,,Sister Ann Elizabeth Shea,"September 19, 1900","May 14, 1957","St. Joseph, Missouri",1900,1957.0
University of Wisconsin,PhD,1934,Theodore Bennett,Sister Ann Elizabeth Shea,"September 19, 1900","May 14, 1957","St. Joseph, Missouri",1900,1957.0
Vassar College,BA,1881,,Charlotte Cynthia Barnum,"May 17, 1860","March 27, 1934","Phillipston, Massachusetts",1860,1934.0
Yale University,PhD,1895,,Charlotte Cynthia Barnum,"May 17, 1860","March 27, 1934","Phillipston, Massachusetts",1860,1934.0
College of Notre Dame of Maryland,BA,1936,Sister Mary Cordia Karl,Mary Catherine Varnhorn,"July 8, 1914","November 9, 1988","Baltimore, Maryland",1914,1988.0
Catholic University of America,MA,1937,Edward J. Finan,Mary Catherine Varnhorn,"July 8, 1914","November 9, 1988","Baltimore, Maryland",1914,1988.0
Catholic University of America,PhD,1939,Edward J. Finan,Mary Catherine Varnhorn,"July 8, 1914","November 9, 1988","Baltimore, Maryland",1914,1988.0
University of Wisconsin,BA,1897,,Charlotte Elvira Crathorne,"May 30, 1875","February 9, 1916","Juda, Wisconsin",1875,1916.0
University of Wisconsin,PhD,1901,Linnaeus Wayland Dowling,Charlotte Elvira Crathorne,"May 30, 1875","February 9, 1916","Juda, Wisconsin",1875,1916.0
Baylor University,BA,1925,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
University of Iowa,MS,1927,Roscoe Woods,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
University of Iowa,PhD,1929,Edward Wilson Chittenden,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Bates College,BA,1922,,Katharine Elizabeth O'Brien,"April 10, 1901","April 10, 1998","Amesbury, Massachusetts",1901,1998.0
Cornell University,MA,1924,,Katharine Elizabeth O'Brien,"April 10, 1901","April 10, 1998","Amesbury, Massachusetts",1901,1998.0
Brown University,PhD,1939,Jacob David Tamarkin,Katharine Elizabeth O'Brien,"April 10, 1901","April 10, 1998","Amesbury, Massachusetts",1901,1998.0
Indiana University,BA,1908,,Gertrude Iona McCain,"July 15, 1879","April 4, 1955","Three Rivers, Michigan",1879,1955.0
Indiana University,MA,1911,,Gertrude Iona McCain,"July 15, 1879","April 4, 1955","Three Rivers, Michigan",1879,1955.0
Indiana University,PhD,1918,,Gertrude Iona McCain,"July 15, 1879","April 4, 1955","Three Rivers, Michigan",1879,1955.0
Indiana University,BA,1907,,Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
Indiana University,MA,1908,,Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
Indiana University,PhD,1912,Robert Daniel Carmichael,Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
Syracuse University,BA,1925,,Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
Syracuse University,MA,1926,,Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
University of Chicago,PhD,1933,Gilbert Ames Bliss,Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
Emmanuel College,BA,1926,,Sister Leonarda Burke,"November 24, 1900","March 1, 1998","Boston, Massachusetts",1900,1998.0
Boston College,MA,1928,,Sister Leonarda Burke,"November 24, 1900","March 1, 1998","Boston, Massachusetts",1900,1998.0
Catholic University of America,PhD,1931,Aubrey E. Landry,Sister Leonarda Burke,"November 24, 1900","March 1, 1998","Boston, Massachusetts",1900,1998.0
University of Kansas,BA,1913,,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
University of Kansas,MA,1921,,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
University of Kansas,PhD,1926,Ellis Bagley Stouffer,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
Loyola University of Chicago,PhB,1924,,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
University of Notre Dame,MS,1930,,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Catholic University of America,PhD,1938,Aubrey Edward Landry,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Knox College,BA,1916,,Helen Calkins,"October 20, 1893","June 17, 1970","Quincy, Illinois",1893,1970.0
Columbia University,MA,1921,David Eugene Smith,Helen Calkins,"October 20, 1893","June 17, 1970","Quincy, Illinois",1893,1970.0
Cornell University,PhD,1932,Charles Frederick Roos and David Clinton Gillespie,Helen Calkins,"October 20, 1893","June 17, 1970","Quincy, Illinois",1893,1970.0
Brown University,PhB,1925,,Rose Alice Whelan Sedgewick,"June 16, 1903","June 7, 2000","Brockton, Massachusetts",1903,2000.0
Brown University,MA,1927,Anna Pell Wheeler,Rose Alice Whelan Sedgewick,"June 16, 1903","June 7, 2000","Brockton, Massachusetts",1903,2000.0
Brown University,PhD,1929,Jacob David Tamarkin,Rose Alice Whelan Sedgewick,"June 16, 1903","June 7, 2000","Brockton, Massachusetts",1903,2000.0
Catholic Sisters College of the Catholic University of America,BA,1914,,Helen Agnes Kelley,"September 8, 1888","October 22, 1926","Roxbury, Boston, Massachusetts",1888,1926.0
Catholic Sisters College of the Catholic University of America,MA,1915,,Helen Agnes Kelley,"September 8, 1888","October 22, 1926","Roxbury, Boston, Massachusetts",1888,1926.0
Catholic Sisters College of the Catholic University of America,PhD,1917,Aubrey Edward Landry,Helen Agnes Kelley,"September 8, 1888","October 22, 1926","Roxbury, Boston, Massachusetts",1888,1926.0
Smith College,BA,1906,,Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
Smith College,MA,1908,,Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
University of Chicago,MS,1914,,Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
University of Chicago,PhD,1916,Ernest J. Wilczynski,Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
Dalhousie University,BA,1891,,Agnes Sime Baxter,"March 18, 1870","March 9, 1917","Halifax, Nova Scotia, Canada",1870,1917.0
Dalhousie University,MA,1892,,Agnes Sime Baxter,"March 18, 1870","March 9, 1917","Halifax, Nova Scotia, Canada",1870,1917.0
Cornell University,PhD,1895,James Edward Oliver,Agnes Sime Baxter,"March 18, 1870","March 9, 1917","Halifax, Nova Scotia, Canada",1870,1917.0
Our Lady of the Lake College,BA,1922,,Sister Mary Laetitia Hill,"December 22, 1898","April 10, 1992","Koerth, Texas",1898,1992.0
Catholic University of America (Catholic Sisters College),MA,1926,,Sister Mary Laetitia Hill,"December 22, 1898","April 10, 1992","Koerth, Texas",1898,1992.0
Catholic University of America,PhD,1935,Aubrey Edward Landry,Sister Mary Laetitia Hill,"December 22, 1898","April 10, 1992","Koerth, Texas",1898,1992.0
Wells College,BA,1920,,Evelyn Carroll Rusk,"September 28, 1898","December 5, 1964","Rome, New York",1898,1964.0
Wells College,MA,1922,,Evelyn Carroll Rusk,"September 28, 1898","December 5, 1964","Rome, New York",1898,1964.0
Cornell University,PhD,1932,Virgil Snyder,Evelyn Carroll Rusk,"September 28, 1898","December 5, 1964","Rome, New York",1898,1964.0
Bryn Mawr College,BA,1928,Unknown,Ruth Margaret Peters,"December 11, 1906","May 12, 1961","Gettysburg, Pennsylvania",1906,1961.0
Bryn Mawr College,MA,1931,Unknown,Ruth Margaret Peters,"December 11, 1906","May 12, 1961","Gettysburg, Pennsylvania",1906,1961.0
Radcliffe College,PhD,1933,William Caspar Graustein,Ruth Margaret Peters,"December 11, 1906","May 12, 1961","Gettysburg, Pennsylvania",1906,1961.0
Wellesley College,BA,1894,,Roxana Hayward Vivian,"December 9, 1871","May 31, 1961","Hyde Park, Massachusetts",1871,1961.0
University of Pennsylvania,PhD,1901,Edwin Cawley,Roxana Hayward Vivian,"December 9, 1871","May 31, 1961","Hyde Park, Massachusetts",1871,1961.0
St. Benedict’s College,BA,1930,N/A,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
Catholic University of America,MA,1931,N/A,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
Catholic University of America,PhD,1934,Aubrey E. Landry,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
Oxford College for Women,BA,1921,,Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
University of Illinois,MA,1922,,Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
University of Illinois,PhD,1931,Arthur Byron Coble,Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
University of Washington,BS,1921,,Lois Wilfred Griffiths,"June 27, 1899","November 9, 1981","Chagrin Falls, Ohio",1899,1981.0
University of Washington,MS,1923,,Lois Wilfred Griffiths,"June 27, 1899","November 9, 1981","Chagrin Falls, Ohio",1899,1981.0
University of Chicago,PhD,1927,Leonard Eugene Dickson,Lois Wilfred Griffiths,"June 27, 1899","November 9, 1981","Chagrin Falls, Ohio",1899,1981.0
Smith College,BS,1895,Unknown,Suzan Rose Benedict,"November 29, 1873","April 8, 1942","Ohio, USA",1873,1942.0
Columbia University (Teachers College),MA,1906,David Eugene Smith,Suzan Rose Benedict,"November 29, 1873","April 8, 1942","Ohio, USA",1873,1942.0
University of Michigan,PhD,1914,Louis Charles Karpinski,Suzan Rose Benedict,"November 29, 1873","April 8, 1942","Ohio, USA",1873,1942.0
Barnard College,BA,1935,,Marion Belle Greenebaum Epstein,"June 14, 1915",,"Brooklyn, New York",1915,
Bryn Mawr College,MA,1936,,Marion Belle Greenebaum Epstein,"June 14, 1915",,"Brooklyn, New York",1915,
Bryn Mawr College,PhD,1938,Heinrich Wilhelm Brinkmann,Marion Belle Greenebaum Epstein,"June 14, 1915",,"Brooklyn, New York",1915,
Oberlin College,BA,1928,,Vivian Eberle Spencer,"October 27, 1907","September 14, 1980","New Castle, Pennsylvania",1907,1980.0
Oberlin College,MA,1929,,Vivian Eberle Spencer,"October 27, 1907","September 14, 1980","New Castle, Pennsylvania",1907,1980.0
University of Pennsylvania,PhD,1936,James Alexander Shohat,Vivian Eberle Spencer,"October 27, 1907","September 14, 1980","New Castle, Pennsylvania",1907,1980.0
Huron College,BS,1919,,Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
University of Chicago,MS,1923,William Duncan MacMillan,Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
University of Chicago,PhD,1938,Leonard Eugene Dickson,Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
University of Minnesota,BA,1927,,Marian Augusta Wilder Thornton,"July 18, 1905","September 30, 1992","Shakopee, Minnesota",1905,1992.0
University of Minnesota,MA,1930,J. Arthur Harris,Marian Augusta Wilder Thornton,"July 18, 1905","September 30, 1992","Shakopee, Minnesota",1905,1992.0
University of Minnesota,PhD,1933,Dunham Jackson,Marian Augusta Wilder Thornton,"July 18, 1905","September 30, 1992","Shakopee, Minnesota",1905,1992.0
Wellesley College,BA,1916,,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Massachusetts Institute of Technology,MS,1923,Newell Caldwell Page,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Massachusetts Institute of Technology,PhD,1930,Norbert Wiener,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Simmons College,MS,1925,,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
University of Saskatchewan,BA,1931,,Vera Adela Widder (née Ames),"December 12, 1909","May 18, 2004","Milestone, Saskatchewan, Canada",1909,2004.0
University of Saskatchewan,MA,1932,,Vera Adela Widder (née Ames),"December 12, 1909","May 18, 2004","Milestone, Saskatchewan, Canada",1909,2004.0
Bryn Mawr College,PhD,1938,Anna Pell Wheeler,Vera Adela Widder (née Ames),"December 12, 1909","May 18, 2004","Milestone, Saskatchewan, Canada",1909,2004.0
Boston University,BA,1927,,Ruth Gertrude Simond,"March 7, 1904","September 15, 1958","Franklin, New Hampshire",1904,1958.0
Boston University,MA,1929,,Ruth Gertrude Simond,"March 7, 1904","September 15, 1958","Franklin, New Hampshire",1904,1958.0
University of Michigan,PhD,1938,William Leake Ayres,Ruth Gertrude Simond,"March 7, 1904","September 15, 1958","Franklin, New Hampshire",1904,1958.0
Swarthmore College,BA,1931,Arnold Dresden,Ruth Caroline McKee (Stauffer),"July 16, 1910","January 9, 1993","Harrisburg, Pennsylvania",1910,1993.0
Bryn Mawr College,MA,1933,Emmy Noether,Ruth Caroline McKee (Stauffer),"July 16, 1910","January 9, 1993","Harrisburg, Pennsylvania",1910,1993.0
Bryn Mawr College,PhD,1935,Emmy Noether,Ruth Caroline McKee (Stauffer),"July 16, 1910","January 9, 1993","Harrisburg, Pennsylvania",1910,1993.0
Guilford College,BS,1892,,Virginia Ragsdale,"December 13, 1870","June 4, 1945","Jamestown, North Carolina",1870,1945.0
Bryn Mawr College,BA,1896,,Virginia Ragsdale,"December 13, 1870","June 4, 1945","Jamestown, North Carolina",1870,1945.0
Bryn Mawr College,PhD,1904,Charlotte Angas Scott,Virginia Ragsdale,"December 13, 1870","June 4, 1945","Jamestown, North Carolina",1870,1945.0
Goucher College,BA,1912,,Teresa Cohen,"February 14, 1892","August 10, 1992","Baltimore, Maryland",1892,1992.0
Johns Hopkins University,MA,1915,,Teresa Cohen,"February 14, 1892","August 10, 1992","Baltimore, Maryland",1892,1992.0
Johns Hopkins University,PhD,1918,Frank Morley,Teresa Cohen,"February 14, 1892","August 10, 1992","Baltimore, Maryland",1892,1992.0
Bryn Mawr College,BA,1920,,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Bryn Mawr College,MA,1922,,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
University of Chicago,PhD,1934,Leonard Eugene Dickson,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
University of Iowa,BS,1903,,Sarah Elizabeth Cronin,"July 1, 1877","October 2, 1958","Iowa, probably in Allamakee County",1877,1958.0
University of Iowa,MS,1905,,Sarah Elizabeth Cronin,"July 1, 1877","October 2, 1958","Iowa, probably in Allamakee County",1877,1958.0
Columbia University,PhD,1917,Edward Kasner,Sarah Elizabeth Cronin,"July 1, 1877","October 2, 1958","Iowa, probably in Allamakee County",1877,1958.0
St. Xavier College,BA,1923,,Sister Mary Henrietta Reilly,"February 14, 1895","April 21, 1964","Chicago, Illinois",1895,1964.0
St. Xavier College,MA,1925,,Sister Mary Henrietta Reilly,"February 14, 1895","April 21, 1964","Chicago, Illinois",1895,1964.0
Catholic University of America,PhD,1936,Aubrey Edward Landry,Sister Mary Henrietta Reilly,"February 14, 1895","April 21, 1964","Chicago, Illinois",1895,1964.0
Cornell College,BA,1926,,Mabel Frances Barnes (Schmeiser),"July 29, 1905","February 22, 1993","Wapello, Iowa",1905,1993.0
University of Wisconsin,MA,1928,Edward Burr Van Vleck,Mabel Frances Barnes (Schmeiser),"July 29, 1905","February 22, 1993","Wapello, Iowa",1905,1993.0
Ohio State University,PhD,1931,Henry Blumberg,Mabel Frances Barnes (Schmeiser),"July 29, 1905","February 22, 1993","Wapello, Iowa",1905,1993.0
Fordham University,BA,1922,,Sister Charles Mary Morrison,"July 19, 1895","January 15, 1953","Hyde Park, Massachusetts",1895,1953.0
Fordham University,MA,1925,,Sister Charles Mary Morrison,"July 19, 1895","January 15, 1953","Hyde Park, Massachusetts",1895,1953.0
Catholic University of America,PhD,1931,Aubrey E. Landry,Sister Charles Mary Morrison,"July 19, 1895","January 15, 1953","Hyde Park, Massachusetts",1895,1953.0
Catholic University of America,BA,1927,,Sister Mary Charlotte Fowler,"August 26, 1899","August 26, 1997","Mechanicsville, Maryland",1899,1997.0
Catholic University of America,MA,1935,Aubrey Edward Landry,Sister Mary Charlotte Fowler,"August 26, 1899","August 26, 1997","Mechanicsville, Maryland",1899,1997.0
Catholic University of America,PhD,1938,Aubrey Edward Landry,Sister Mary Charlotte Fowler,"August 26, 1899","August 26, 1997","Mechanicsville, Maryland",1899,1997.0
Wellesley College,BA,1926,,Ruth Glidden Mason Ballard,"April 24, 1906","June 7, 1980","Chicago, Illinois",1906,1980.0
University of Chicago,MS,1928,Mayme Irwin Logsdon,Ruth Glidden Mason Ballard,"April 24, 1906","June 7, 1980","Chicago, Illinois",1906,1980.0
University of Chicago,PhD,1932,Leonard Eugene Dickson,Ruth Glidden Mason Ballard,"April 24, 1906","June 7, 1980","Chicago, Illinois",1906,1980.0
Hunter College,BA,1929,,Annita Tuller,"December 30, 1910","August 29, 1994","Brooklyn, New York",1910,1994.0
Bryn Mawr College,MA,1930,,Annita Tuller,"December 30, 1910","August 29, 1994","Brooklyn, New York",1910,1994.0
Bryn Mawr College,PhD,1937,Gustav A. Hedlund,Annita Tuller,"December 30, 1910","August 29, 1994","Brooklyn, New York",1910,1994.0
Saint Xavier College for Women,BS,1934,,Mary Barbara Haberzetle Turner,"June 4, 1912","November 16, 1983","Chicago, Illinois",1912,1983.0
University of Chicago,MS,1936,,Mary Barbara Haberzetle Turner,"June 4, 1912","November 16, 1983","Chicago, Illinois",1912,1983.0
University of Chicago,PhD,1938,Leonard Eugene Dickson,Mary Barbara Haberzetle Turner,"June 4, 1912","November 16, 1983","Chicago, Illinois",1912,1983.0
University of Edinburgh,MA,1917,,Eleanor Pairman Brown,"June 8, 1896","September 14, 1973","Broomieknowe, Lasswade, Midlothian, Scotland",1896,1973.0
Radcliffe College,PhD,1922,George David Birkhoff,Eleanor Pairman Brown,"June 8, 1896","September 14, 1973","Broomieknowe, Lasswade, Midlothian, Scotland",1896,1973.0
University of Wisconsin,BL,1900,,Florence Eliza Allen,"October 4, 1876","December 31, 1960","Horicon, Wisconsin",1876,1960.0
University of Wisconsin,ML,1901,Linnaeus Wayland Dowling,Florence Eliza Allen,"October 4, 1876","December 31, 1960","Horicon, Wisconsin",1876,1960.0
University of Wisconsin,PhD,1907,Linnaeus Wayland Dowling,Florence Eliza Allen,"October 4, 1876","December 31, 1960","Horicon, Wisconsin",1876,1960.0
University of Kansas,BA,1900,,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
University of Kansas,MA,1901,Henry B. Newson,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
Cornell University,PhD,1910,Virgil Snyder,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
University of British Columbia,BA,1932,,M. Gweneth Humphreys,"October 22, 1911","October 6, 2006","South Vancouver, British Columbia",1911,2006.0
Smith College,MA,1933,,M. Gweneth Humphreys,"October 22, 1911","October 6, 2006","South Vancouver, British Columbia",1911,2006.0
University of Chicago,PhD,1935,Leonard Eugene Dickson,M. Gweneth Humphreys,"October 22, 1911","October 6, 2006","South Vancouver, British Columbia",1911,2006.0
University of London,BA,1896,,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
Columbia University,MA,1898,,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
Columbia University,PhD,1905,,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
New York University,LLB,1913,,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
New York University,BS,1932,,Gertrude Blanch,"February 2, 1897","January 1, 1996","Kolno, Poland",1897,1996.0
Cornell University,MS,1934,Virgil Snyder,Gertrude Blanch,"February 2, 1897","January 1, 1996","Kolno, Poland",1897,1996.0
Cornell University,PhD,1935,Virgil Snyder,Gertrude Blanch,"February 2, 1897","January 1, 1996","Kolno, Poland",1897,1996.0
University of Kansas,BA,1919,,Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
University of Kansas,MA,1922,,Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
University of Kansas,PhD,1926,Ellis Bagley Stouffer,Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
Vassar College,BA,1928,Unknown,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Yale University,MA,1930,Unknown,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Yale University,PhD,1934,Oystein Ore,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Radcliffe College,BA,1913,Charles Leonard Bouton,Elizabeth Morgan Cooper,"January 19, 1891","May 17, 1967","Syracuse, New York",1891,1967.0
Bryn Mawr College,MA,1923,,Elizabeth Morgan Cooper,"January 19, 1891","May 17, 1967","Syracuse, New York",1891,1967.0
University of Illinois,PhD,1930,Arthur Byron Coble,Elizabeth Morgan Cooper,"January 19, 1891","May 17, 1967","Syracuse, New York",1891,1967.0
Oberlin College,BA,1900,,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
University of Chicago,MA,1903,,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
University of Chicago,PhD,1908,Oskar Bolza,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
University of Michigan,BS,1926,,Shu Ting Liu Hsia,"September 25, 1903","August 16, 1980","Beijing, China",1903,1980.0
University of Michigan,MS,1927,,Shu Ting Liu Hsia,"September 25, 1903","August 16, 1980","Beijing, China",1903,1980.0
University of Michigan,PhD,1930,Louis Allen Hopkins,Shu Ting Liu Hsia,"September 25, 1903","August 16, 1980","Beijing, China",1903,1980.0
University of Missouri,BS,1922,,Nola Lee Anderson Haynes,"January 9, 1897","December 21, 1996","Bucklin, Linn County, Missouri",1897,1996.0
University of Missouri,MA,1926,,Nola Lee Anderson Haynes,"January 9, 1897","December 21, 1996","Bucklin, Linn County, Missouri",1897,1996.0
University of Missouri,PhD,1929,Louis Ingold,Nola Lee Anderson Haynes,"January 9, 1897","December 21, 1996","Bucklin, Linn County, Missouri",1897,1996.0
Wellesley College,BS,1890,,Grace Andrews,"May 30, 1869","July 27, 1951","Brooklyn, New York",1869,1951.0
Columbia University,MA,1899,,Grace Andrews,"May 30, 1869","July 27, 1951","Brooklyn, New York",1869,1951.0
Columbia University,PhD,1901,,Grace Andrews,"May 30, 1869","July 27, 1951","Brooklyn, New York",1869,1951.0
University of South Dakota,BA,1915,,Emma Julia Olson,"December 7, 1892","November 14, 1981","Fairview, South Dakota",1892,1981.0
University of Chicago,MA,1924,Ernest Preston Lane,Emma Julia Olson,"December 7, 1892","November 14, 1981","Fairview, South Dakota",1892,1981.0
University of Chicago,PhD,1932,Ernest Preston Lane,Emma Julia Olson,"December 7, 1892","November 14, 1981","Fairview, South Dakota",1892,1981.0
University of California,BA,1908,,Annie Dale Andrews (Biddle),"December 13, 1885","April 14, 1940","Hanford, California",1885,1940.0
University of California,PhD,1911,Derrick Norman Lehmer,Annie Dale Andrews (Biddle),"December 13, 1885","April 14, 1940","Hanford, California",1885,1940.0
University of Toronto,BA,1895,,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
University of Toronto,MA,1902,,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
Bryn Mawr College,PhD,1914,Charlotte Angas Scott,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
University of Edinburgh,MA,1922,E. T. Whittaker,Marion Cameron Gray,"March 26, 1902","September 16, 1979","Ayr, Scotland",1902,1979.0
Bryn Mawr College,PhD,1926,Anna Pell Wheeler,Marion Cameron Gray,"March 26, 1902","September 16, 1979","Ayr, Scotland",1902,1979.0
University of Iowa,BA,1923,,Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
University of Iowa,MS,1925,Richard Philip Baker,Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
University of Chicago,PhD,1934,Leonard Eugene Dickson,Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
Hunter College,BA,1922,,Edna Ernestine Kramer,"May 11, 1902","July 9, 1984","New York, New York",1902,1984.0
Columbia University,MA,1925,,Edna Ernestine Kramer,"May 11, 1902","July 9, 1984","New York, New York",1902,1984.0
Columbia University,PhD,1930,Edward Kasner,Edna Ernestine Kramer,"May 11, 1902","July 9, 1984","New York, New York",1902,1984.0
