visit_location,visit_reason,visit_year,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Columbia University,Summer study,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
"Boulder, Colorado",Institute for college teachers,1953,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Vanderbilt University,Summer and semester study,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Washington State University,Institute for college teachers,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
"Patrick Air Force Base, Florida",Summer work,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
"Aberdeen Proving Ground, Maryland",Summer work,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Northwestern State Teacher’s College,Summer teaching,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
University of Hawaii,Visiting professor,1958,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
University of New Mexico,Summer teaching,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Malawi,Teaching children of missionaries,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Indonesia,Teaching children of missionaries,,Dorothy McCoy,"August 9, 1903","November 21, 2001","Waukomis, Oklahoma Territory",1903,2001.0
Connecticut College,ATMNE-sponsored institute for teachers of mathematics,1951,Katharine Elizabeth O'Brien,"April 10, 1901","April 10, 1998","Amesbury, Massachusetts",1901,1998.0
Brown University,Lecturer in NSF institutes for teachers,1962,Katharine Elizabeth O'Brien,"April 10, 1901","April 10, 1998","Amesbury, Massachusetts",1901,1998.0
Ohio State University,Attended the organizational meeting of the MAA,1915,Gertrude Iona McCain,"July 15, 1879","April 4, 1955","Three Rivers, Michigan",1879,1955.0
Ohio State University,Organizational meeting of the MAA,1915,Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
"Cambridge, Massachusetts",Harvard Tercentenary Conference of Arts and Sciences,1936,Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
"Indianapolis, IN",Presented 'And gladly teach' to the MAA,1941,Cora Barbara Hennel,"January 21, 1886","June 26, 1947","Evansville, Indiana",1886,1947.0
"University of Madras, India",Replacement for Mary Evelyn Wells,1926,Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
New York,Conference on a general curriculum in mathematics,1966,Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
"Hartford, Connecticut",Talk at the Senior High School Section of an NCTM meeting,1966,Julia Wells Bower,"December 27, 1903","February 19, 1999","Reading, Pennsylvania",1903,1999.0
Catholic University,Post-doctoral research,1940,Sister Leonarda Burke,"November 24, 1900","March 1, 1998","Boston, Massachusetts",1900,1998.0
University of Chicago,Studied modern mathematical techniques in teaching,1950,Sister Leonarda Burke,"November 24, 1900","March 1, 1998","Boston, Massachusetts",1900,1998.0
Alaska,Travel,,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
"Mediterranean, Tanzania, Uganda, and Kenya",Travel,1969,Florence Lucile Black,"November 22, 1889","September 13, 1974","Meade County, Kansas",1889,1974.0
Loyola University of Chicago,Undergraduate courses,1918,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Loyola University of Chicago,Undergraduate courses,1919,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Loyola University of Chicago,Undergraduate courses,1920,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Loyola University of Chicago,Undergraduate courses,1921,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
University of Notre Dame,Summer sessions for mathematics classes,1926,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
University of Notre Dame,Summer sessions for mathematics classes,1927,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
University of Notre Dame,Summer sessions for mathematics classes,1928,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
University of Notre Dame,Summer sessions for mathematics classes,1930,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Catholic University of America,Graduate work,1933,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Catholic University of America,Graduate work,1934,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Catholic University of America,Graduate work,1935,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Catholic University of America,Graduate work,1936,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
Catholic University of America,Graduate work,1937,Sister Catharine Francis Galvin,"November 24, 1885","December 2, 1955","Spalding, Nebraska",1885,1955.0
United States and Cuba,Travel,1924,Helen Calkins,"October 20, 1893","June 17, 1970","Quincy, Illinois",1893,1970.0
Europe,Travel,1926,Helen Calkins,"October 20, 1893","June 17, 1970","Quincy, Illinois",1893,1970.0
Bryn Mawr College,Resident fellow,1926,Rose Alice Whelan Sedgewick,"June 16, 1903","June 7, 2000","Brockton, Massachusetts",1903,2000.0
University of London,Studies,1910,Helen Agnes Kelley,"September 8, 1888","October 22, 1926","Roxbury, Boston, Massachusetts",1888,1926.0
"Lourdes Sanatorium, Stellarton, Nova Scotia",Health treatment,1923,Helen Agnes Kelley,"September 8, 1888","October 22, 1926","Roxbury, Boston, Massachusetts",1888,1926.0
Europe,On leave,1938,Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
"Carmel, California",Sabbatical,1949,Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
London,Visit,1959,Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
England and New York,Three-month trip,1964,Pauline Sperry,"March 5, 1885","September 24, 1967","Peabody, Massachusetts",1885,1967.0
"Bowdoin College, Maine",NSF-sponsored summer institute for college teachers of mathematics,1962,Sister Mary Laetitia Hill,"December 22, 1898","April 10, 1992","Koerth, Texas",1898,1992.0
Columbia University,Study,1924,Evelyn Carroll Rusk,"September 28, 1898","December 5, 1964","Rome, New York",1898,1964.0
Columbia University,Study,1927,Evelyn Carroll Rusk,"September 28, 1898","December 5, 1964","Rome, New York",1898,1964.0
Harvard University,National Science Foundation faculty fellowship,1958,Ruth Margaret Peters,"December 11, 1906","May 12, 1961","Gettysburg, Pennsylvania",1906,1961.0
Europe,Trip,1902,Roxana Hayward Vivian,"December 9, 1871","May 31, 1961","Hyde Park, Massachusetts",1871,1961.0
"Cold Spring Harbor, New York",Prepare to teach a course in statistics,1912,Roxana Hayward Vivian,"December 9, 1871","May 31, 1961","Hyde Park, Massachusetts",1871,1961.0
Cornell University,Attend classes,1925,Roxana Hayward Vivian,"December 9, 1871","May 31, 1961","Hyde Park, Massachusetts",1871,1961.0
Constantinople and Mediterranean countries,Trip,1927,Roxana Hayward Vivian,"December 9, 1871","May 31, 1961","Hyde Park, Massachusetts",1871,1961.0
Greece,Spent two years,1952,Roxana Hayward Vivian,"December 9, 1871","May 31, 1961","Hyde Park, Massachusetts",1871,1961.0
"Université Laval, Quebec City, Canada",Research and study,1950,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
"University of Oklahoma, Norman",Research and study,1962,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
"Clare College, Cambridge University, England",Research and study,1964,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
"University of Aurangabad, India",American consultant in mathematics for US AID,1970,Sister M. Helen Sullivan,"April 10, 1907","December 22, 1998","Effingham, Kansas",1907,1998.0
Chicago,Chairman of the ushers and secretaries committee at NCTM meeting,1950,Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
Atlantic City,Gave talks about teaching geometry at the college level,1953,Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
Cincinnati,Gave talks about teaching geometry at the college level,1954,Mildred Ellen Taylor,"July 25, 1898","November 3, 1978","Virginia, Illinois",1898,1978.0
"Cambridge, England",Sabbatical,1936,Lois Wilfred Griffiths,"June 27, 1899","November 9, 1981","Chagrin Falls, Ohio",1899,1981.0
Europe,Travel,1935,Lois Wilfred Griffiths,"June 27, 1899","November 9, 1981","Chagrin Falls, Ohio",1899,1981.0
University of Michigan,Summer courses in mathematics,1911,Suzan Rose Benedict,"November 29, 1873","April 8, 1942","Ohio, USA",1873,1942.0
University of Michigan,Summer courses in mathematics,1912,Suzan Rose Benedict,"November 29, 1873","April 8, 1942","Ohio, USA",1873,1942.0
University of Michigan,Summer courses in mathematics,1913,Suzan Rose Benedict,"November 29, 1873","April 8, 1942","Ohio, USA",1873,1942.0
Ghana and Nigeria,Consultant for test development workshops,1964,Marion Belle Greenebaum Epstein,"June 14, 1915",,"Brooklyn, New York",1915,
University of London School Examinations Department,Consultant for test development workshops,1967,Marion Belle Greenebaum Epstein,"June 14, 1915",,"Brooklyn, New York",1915,
University of Chicago,Summer Studies,Several Summers between 1929 and 1933,Vivian Eberle Spencer,"October 27, 1907","September 14, 1980","New Castle, Pennsylvania",1907,1980.0
University of Chicago,Graduate courses,1926,Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
University of Chicago,Graduate courses,1928,Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
University of Chicago,Graduate courses,1929,Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
University of Chicago,Graduate courses,1931,Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
University of Chicago,Graduate courses,1938,Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
"Glen Lake State Tuberculosis Sanitarium, Oak Terrace, Minneapolis",Health treatment,1935,Marian Augusta Wilder Thornton,"July 18, 1905","September 30, 1992","Shakopee, Minnesota",1905,1992.0
"Cambridge, England",Research,1932,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Zurich,International Congress of Mathematicians,1932,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Edinburgh,International Federation of University Women convention,1932,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Paris,Travel,1956,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Helsinki,Travel,1959,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
"Ann Arbor, Michigan",Symposium in honor of Anna Pell Wheeler,1980,Vera Adela Widder (née Ames),"December 12, 1909","May 18, 2004","Milestone, Saskatchewan, Canada",1909,2004.0
"Harrisburg, Pennsylvania",Visit by Anna Pell Wheeler,1960s,Ruth Caroline McKee (Stauffer),"July 16, 1910","January 9, 1993","Harrisburg, Pennsylvania",1910,1993.0
Princeton,Art shows and lectures,Post-retirement,Ruth Caroline McKee (Stauffer),"July 16, 1910","January 9, 1993","Harrisburg, Pennsylvania",1910,1993.0
University of Göttingen,Study with Felix Klein and David Hilbert,1897,Virginia Ragsdale,"December 13, 1870","June 4, 1945","Jamestown, North Carolina",1870,1945.0
Highlands Camp Sanatorium,Health reasons,1913,Virginia Ragsdale,"December 13, 1870","June 4, 1945","Jamestown, North Carolina",1870,1945.0
State College,Mathematics meetings,1937,Teresa Cohen,"February 14, 1892","August 10, 1992","Baltimore, Maryland",1892,1992.0
Europe,Study,1923,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
France and Italy,Travel,1951,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Columbia University,Graduate studies,1913,Sarah Elizabeth Cronin,"July 1, 1877","October 2, 1958","Iowa, probably in Allamakee County",1877,1958.0
Cincinnati,Entered the congregation of the Religious Sisters of Mercy,1914,Sister Mary Henrietta Reilly,"February 14, 1895","April 21, 1964","Chicago, Illinois",1895,1964.0
"Washington, D.C.",Doctoral studies,1931,Sister Mary Henrietta Reilly,"February 14, 1895","April 21, 1964","Chicago, Illinois",1895,1964.0
"Washington, D.C.",Doctoral studies,1934,Sister Mary Henrietta Reilly,"February 14, 1895","April 21, 1964","Chicago, Illinois",1895,1964.0
"Institute for Advanced Study, Princeton",Research,1933,Mabel Frances Barnes (Schmeiser),"July 29, 1905","February 22, 1993","Wapello, Iowa",1905,1993.0
"Providence, RI",Panel on women in American mathematics at AMS Centennial,1988,Mabel Frances Barnes (Schmeiser),"July 29, 1905","February 22, 1993","Wapello, Iowa",1905,1993.0
"Lexington, KY",Presented paper to the MAA,1932,Sister Charles Mary Morrison,"July 19, 1895","January 15, 1953","Hyde Park, Massachusetts",1895,1953.0
"Georgetown, KY",Presented paper to the MAA,1933,Sister Charles Mary Morrison,"July 19, 1895","January 15, 1953","Hyde Park, Massachusetts",1895,1953.0
"Lexington, KY",Presented paper to the MAA,1940,Sister Charles Mary Morrison,"July 19, 1895","January 15, 1953","Hyde Park, Massachusetts",1895,1953.0
"University of Kentucky, Lexington",Summer courses,,Sister Mary Charlotte Fowler,"August 26, 1899","August 26, 1997","Mechanicsville, Maryland",1899,1997.0
Notre Dame University,Summer courses,,Sister Mary Charlotte Fowler,"August 26, 1899","August 26, 1997","Mechanicsville, Maryland",1899,1997.0
University of California,Study with D. N. Lehmer,1930,Ruth Glidden Mason Ballard,"April 24, 1906","June 7, 1980","Chicago, Illinois",1906,1980.0
Europe,Travel,1938,Ruth Glidden Mason Ballard,"April 24, 1906","June 7, 1980","Chicago, Illinois",1906,1980.0
Europe,Unknown,1938,Annita Tuller,"December 30, 1910","August 29, 1994","Brooklyn, New York",1910,1994.0
Scotland,Family visit,1929,Eleanor Pairman Brown,"June 8, 1896","September 14, 1973","Broomieknowe, Lasswade, Midlothian, Scotland",1896,1973.0
Scotland,Family visit,1934,Eleanor Pairman Brown,"June 8, 1896","September 14, 1973","Broomieknowe, Lasswade, Midlothian, Scotland",1896,1973.0
Bermuda,Trip with daughter Barbara,1936,Eleanor Pairman Brown,"June 8, 1896","September 14, 1973","Broomieknowe, Lasswade, Midlothian, Scotland",1896,1973.0
Boston,Flower show,,Eleanor Pairman Brown,"June 8, 1896","September 14, 1973","Broomieknowe, Lasswade, Midlothian, Scotland",1896,1973.0
University of Chicago,Graduate studies,1904,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
"Topeka, Kansas",Meeting of the Kansas Section of the MAA,1934,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
"Berkeley, California",AMS meeting,1934,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
"Williamstown, Massachusetts",AMS and MAA summer meetings,1934,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
New York City,AMS meeting,1934,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
"Pittsburgh, Pennsylvania",AMS and MAA annual meetings,1934,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
University of British Columbia,Sabbatical and study,1955,M. Gweneth Humphreys,"October 22, 1911","October 6, 2006","South Vancouver, British Columbia",1911,2006.0
University of British Columbia,NSF faculty fellow and visiting professor,1962,M. Gweneth Humphreys,"October 22, 1911","October 6, 2006","South Vancouver, British Columbia",1911,2006.0
Rome,International Congress of Mathematicians,1908,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
"Cambridge, England",International Congress of Mathematicians,1912,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
Europe,Various trips,1905-1914,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
Europe,Various trips with husband,1920s-1930s,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
Europe,Last trip,1952,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
British National Physics Laboratory,US representative to a symposium on automated digital computing,1953,Gertrude Blanch,"February 2, 1897","January 1, 1996","Kolno, Poland",1897,1996.0
"Topeka, KS",Presented to the MAA,1923,Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
"Topeka, KS",Presented to the MAA,1927,Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
"Lawrence, KS",Presented to the MAA,1943,Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
"United States Naval Reserve Midshipman’s School for Women, Northampton, Massachusetts",Military Training,1944,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
University of Pennsylvania,Visiting Lecturer,1959,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
"Newnham College, Cambridge University, England",Studied mathematics on a fellowship,1924,Elizabeth Morgan Cooper,"January 19, 1891","May 17, 1967","Syracuse, New York",1891,1967.0
Columbia University and Johns Hopkins University,Sabbatical,1914,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
Cornell and University of Chicago,Julia C. G. Piatt fellowship of the AAUW,1922,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
Rome and Sorbonne,Sabbatical,1925,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
Freiburg,Visit with Oskar Bolza,1925,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
"University of Miami, Coral Gables, Florida",On leave from Oberlin,1927,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
"Institute for Advanced Study, Princeton, New Jersey",On leave,1935,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
Columbia University,On leave,1941,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
United States,Education,1923,Shu Ting Liu Hsia,"September 25, 1903","August 16, 1980","Beijing, China",1903,1980.0
Hong Kong,Escape from Shanghai,1937,Shu Ting Liu Hsia,"September 25, 1903","August 16, 1980","Beijing, China",1903,1980.0
Europe,Extended trip with family,1877,Grace Andrews,"May 30, 1869","July 27, 1951","Brooklyn, New York",1869,1951.0
Europe,Travel,,Emma Julia Olson,"December 7, 1892","November 14, 1981","Fairview, South Dakota",1892,1981.0
Scandinavia,Travel,,Emma Julia Olson,"December 7, 1892","November 14, 1981","Fairview, South Dakota",1892,1981.0
Holy Land,Travel,,Emma Julia Olson,"December 7, 1892","November 14, 1981","Fairview, South Dakota",1892,1981.0
"Palo Alto, CA",Presented research to the AMS,1933,Annie Dale Andrews (Biddle),"December 13, 1885","April 14, 1940","Hanford, California",1885,1940.0
University of Pennsylvania,Bennett fellowship,1896,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
University of Chicago,student,1897,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
Bryn Mawr College,resident fellow in mathematics,1898,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
Bryn Mawr College,fellowship by courtesy in mathematics,1900,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
Bryn Mawr College,graduate scholar,1905,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
Bryn Mawr College,graduate scholar,1912,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
Toronto,International Congress of Mathematicians,1924,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
Zurich,International Congress of Mathematicians,1932,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
United States,Study at Bryn Mawr College,1924,Marion Cameron Gray,"March 26, 1902","September 16, 1979","Ayr, Scotland",1902,1979.0
Canada,Potential employment consideration,1925,Marion Cameron Gray,"March 26, 1902","September 16, 1979","Ayr, Scotland",1902,1979.0
Europe,Visit with an aunt in England,1928,Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
University of Wisconsin,Honorary fellow,1945,Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
Princeton University,Research leave,1952,Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
University of California at Berkeley,Summer research,1953,Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
University of North Carolina,Research leave,1960,Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
"England, France, Italy, and Switzerland",Interview women mathematicians,1956,Edna Ernestine Kramer,"May 11, 1902","July 9, 1984","New York, New York",1902,1984.0
"Nanyang University, Singapore",Lecturer,1973,Edna Ernestine Kramer,"May 11, 1902","July 9, 1984","New York, New York",1902,1984.0
Göttingen,Study with Felix Klein and David Hilbert,1894,Ada Isabel Maddison,"April 13, 1869","October 22, 1950","Whitehaven, Cumberland, England",1869,1950.0
England,Annual summer visit,,Ada Isabel Maddison,"April 13, 1869","October 22, 1950","Whitehaven, Cumberland, England",1869,1950.0
England,Travel with sister Janie,1925,Ada Isabel Maddison,"April 13, 1869","October 22, 1950","Whitehaven, Cumberland, England",1869,1950.0
England,Travel with sister Janie,1929,Ada Isabel Maddison,"April 13, 1869","October 22, 1950","Whitehaven, Cumberland, England",1869,1950.0
"Göttingen, Germany",Study,1908,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
"Bologna, Italy",International Congress,1928,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
"Cambridge, England",International Congress,1912,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
"Toronto, Canada",International Congress,1924,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Newfoundland,Summer Visit,1913,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Europe,Travel,1909,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Europe,Travel,1912,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Europe,Travel,1914,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Pyrenees,Travel,1929,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Europe,Travel,1933,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
"Egypt, Greece, Turkey",Sabbatical Travel,1934,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
California,Travel,1936,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
South America,Cruise,1937,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Ball State Teachers College,NSF institute,1959,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
Montclair State College,NSF conference,1961,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
Oklahoma State University,NSF conference,1961,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
Washington State University,NSF conference,1962,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
"Teachers College, Columbia",NSF conference,1969,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
Denver,Cuisenaire workshop,1966,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
"Madison, WI",NCTM presentation,1962,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
Minneapolis,NCTM presentation,1964,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
"Cedar Rapids, IA",NCTM presentation,1968,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
"Duluth, MN",NCTM presentation,1971,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
Ann Arbor,Reader for the College Entrance Board,1936,Roberta Frances Johnson,"January 22, 1902","October 12, 1988","Philadelphia, Pennsylvania",1902,1988.0
Bermuda,Travel,1936,Roberta Frances Johnson,"January 22, 1902","October 12, 1988","Philadelphia, Pennsylvania",1902,1988.0
Stanford University,Summer institute in social sciences for college mathematics teachers,1957,Roberta Frances Johnson,"January 22, 1902","October 12, 1988","Philadelphia, Pennsylvania",1902,1988.0
Stanford,Summer institute sponsored by the National Science Foundation,,Fannie Wilson Boyce,"March 16, 1897","February 13, 1986","Near Lentner, Shelby County, Missouri",1897,1986.0
"University of Berlin, Germany",Study of mathematics,1930,Dorothy Elizabeth Brady (Stahl),"June 14, 1903","April 17, 1977","Elk River, Minnesota",1903,1977.0
University of Chicago,Graduate Studies,1934,Adrienne Sophie Rayl,"September 25, 1898","November 27, 1989","New Orleans, Louisiana",1898,1989.0
"Pittsburgh, PA",Presented to the AMS,1934,Rosella Kanarik,"February 7, 1909",,"Bartfa, Hungary",1909,
Chicago,Study at University of Chicago,1917,Gladys Elizabeth Corson Gibbens,"January 21, 1893","September 24, 1983","New Orleans, Louisiana",1893,1983.0
"Lexington, KY",Presented to the MAA,1935,Eleanor Margaret Thuener,"October 25, 1880","September 29, 1977","Allegheny, Pennsylvania",1880,1977.0
"Rome, Italy",Study on a foreign fellowship,1925,Mayme Irwin Logsdon,"February 1, 1881","July 4, 1967","Elizabethtown, Kentucky",1881,1967.0
Columbia University,Study,1922,Hazel Edith Schoonmaker Wilson,"October 31, 1888","April 23, 1988","Philadelphia, Pennsylvania",1888,1988.0
