parent_name,parent_birthdate,parent_deathdate,parent_birthyear,parent_deathyear,parent_profession,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Ina M. Eberle,1879,,1879.0,,,Vivian Eberle Spencer,"October 27, 1907","September 14, 1980","New Castle, Pennsylvania",1907,1980.0
Andrew Berger Spencer,1869,,1869.0,,Traveling Salesman,Vivian Eberle Spencer,"October 27, 1907","September 14, 1980","New Castle, Pennsylvania",1907,1980.0
Rose Brekhus,1868,,1868.0,,,Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
Henry Mauch,1861,,1861.0,,Bank President,Margaret Evelyn Mauch,"June 1, 1897","November 16, 1987","De Smet, South Dakota",1897,1987.0
Minnie Florence Buchanan,1870,,1870.0,,,Marian Augusta Wilder Thornton,"July 18, 1905","September 30, 1992","Shakopee, Minnesota",1905,1992.0
George D. Wilder,1866,,1866.0,,Sash and door commercial traveler,Marian Augusta Wilder Thornton,"July 18, 1905","September 30, 1992","Shakopee, Minnesota",1905,1992.0
Mary Walcott,ca. 1869,1932,1869.0,1932.0,Graduate of the Girls’ High and Normal School,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Edward Mitchell Weeks,1866,1959,1866.0,1959.0,Engraver and Patent Lawyer,Dorothy Walcott Weeks,"May 3, 1893","June 4, 1990","Philadelphia, Pennsylvania",1893,1990.0
Margaret Ophelia Ames (née Mooney),1876,1960,1876.0,1960.0,Seamstress,Vera Adela Widder (née Ames),"December 12, 1909","May 18, 2004","Milestone, Saskatchewan, Canada",1909,2004.0
Charles Edgar Ames,1878,1980,1878.0,1980.0,Farmer,Vera Adela Widder (née Ames),"December 12, 1909","May 18, 2004","Milestone, Saskatchewan, Canada",1909,2004.0
Grace M. (Fiﬁeld) Simond,1872,1967,1872.0,1967.0,Vocal and instrumental music teacher,Ruth Gertrude Simond,"March 7, 1904","September 15, 1958","Franklin, New Hampshire",1904,1958.0
Walter A. Simond,1871,1962,1871.0,1962.0,Machinist in a hosiery mill,Ruth Gertrude Simond,"March 7, 1904","September 15, 1958","Franklin, New Hampshire",1904,1958.0
Hannah Stauffer (Henry),1876,1961,1876.0,1961.0,Elementary school teacher,Ruth Caroline McKee (Stauffer),"July 16, 1910","January 9, 1993","Harrisburg, Pennsylvania",1910,1993.0
Charles Christian Stauffer,1880,1968,1880.0,1968.0,Physician,Ruth Caroline McKee (Stauffer),"July 16, 1910","January 9, 1993","Harrisburg, Pennsylvania",1910,1993.0
Emily Jane Idol,1841,1934,1841.0,1934.0,Teacher,Virginia Ragsdale,"December 13, 1870","June 4, 1945","Jamestown, North Carolina",1870,1945.0
Joseph Sinclair Ragsdale,1836,1903,1836.0,1903.0,Cotton Manufacturer,Virginia Ragsdale,"December 13, 1870","June 4, 1945","Jamestown, North Carolina",1870,1945.0
Rebecca Sinsheimer,1856,,1856.0,,,Teresa Cohen,"February 14, 1892","August 10, 1992","Baltimore, Maryland",1892,1992.0
Benjamin Cohen,1855,,1855.0,,Wholesale shoe merchant,Teresa Cohen,"February 14, 1892","August 10, 1992","Baltimore, Maryland",1892,1992.0
Katherine O'Connell Litzinger,1870,1948,1870.0,1948.0,,Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Rush C. Litzinger,1865,1927,1865.0,1927.0,"Clerk, Bookkeeper, Accountant, Insurance and Real Estate Agent",Marie Paula Litzinger,"May 14, 1899","April 7, 1952","Bedford, Pennsylvania",1899,1952.0
Deborah Cronin,ca. 1838,ca. 1918,1838.0,1918.0,,Sarah Elizabeth Cronin,"July 1, 1877","October 2, 1958","Iowa, probably in Allamakee County",1877,1958.0
Cornelius Cronin,ca. 1830,ca. 1917,1830.0,1917.0,farmer,Sarah Elizabeth Cronin,"July 1, 1877","October 2, 1958","Iowa, probably in Allamakee County",1877,1958.0
Agnes Finn,1869,,1869.0,,,Sister Mary Henrietta Reilly,"February 14, 1895","April 21, 1964","Chicago, Illinois",1895,1964.0
Michael Reilly,1862,,1862.0,,Sewer builder,Sister Mary Henrietta Reilly,"February 14, 1895","April 21, 1964","Chicago, Illinois",1895,1964.0
Christena M. Wehmeyer,1879,1953,1879.0,1953.0,,Mabel Frances Barnes (Schmeiser),"July 29, 1905","February 22, 1993","Wapello, Iowa",1905,1993.0
Emanuel Schmeiser,1872,1942,1872.0,1942.0,Farmer,Mabel Frances Barnes (Schmeiser),"July 29, 1905","February 22, 1993","Wapello, Iowa",1905,1993.0
Mary Etta Kennedy,1864,1929,1864.0,1929.0,,Sister Charles Mary Morrison,"July 19, 1895","January 15, 1953","Hyde Park, Massachusetts",1895,1953.0
Charles F. Morrison,1862,1924,1862.0,1924.0,Clerk for the city of Boston,Sister Charles Mary Morrison,"July 19, 1895","January 15, 1953","Hyde Park, Massachusetts",1895,1953.0
Charlotte Burch,1879,1975,1879.0,1975.0,,Sister Mary Charlotte Fowler,"August 26, 1899","August 26, 1997","Mechanicsville, Maryland",1899,1997.0
Thomas Henry Fowler,1854,1920,1854.0,1920.0,merchant and later a farmer,Sister Mary Charlotte Fowler,"August 26, 1899","August 26, 1997","Mechanicsville, Maryland",1899,1997.0
Bertha Hall Sickles,1866,1937,1866.0,1937.0,Nurse,Ruth Glidden Mason Ballard,"April 24, 1906","June 7, 1980","Chicago, Illinois",1906,1980.0
Fred Bonfoy Mason,1870,1932,1870.0,1932.0,Insurance Agent,Ruth Glidden Mason Ballard,"April 24, 1906","June 7, 1980","Chicago, Illinois",1906,1980.0
Ida Bick,1883,1931,1883.0,1931.0,Housewife,Annita Tuller,"December 30, 1910","August 29, 1994","Brooklyn, New York",1910,1994.0
Morris Tuller,1886,1934,1886.0,1934.0,Jeweler,Annita Tuller,"December 30, 1910","August 29, 1994","Brooklyn, New York",1910,1994.0
Helen Martin Haberzetle,1886,1978,1886.0,1978.0,Worked to support herself when young,Mary Barbara Haberzetle Turner,"June 4, 1912","November 16, 1983","Chicago, Illinois",1912,1983.0
William Thomas Haberzetle,1881,1955,1881.0,1955.0,Saloon keeper,Mary Barbara Haberzetle Turner,"June 4, 1912","November 16, 1983","Chicago, Illinois",1912,1983.0
Helen Dunlop,ca. 1858,,1858.0,,,Eleanor Pairman Brown,"June 8, 1896","September 14, 1973","Broomieknowe, Lasswade, Midlothian, Scotland",1896,1973.0
John Pairman,ca. 1854,before 1901,1854.0,,"Solicitor, Supreme Courts of Scotland",Eleanor Pairman Brown,"June 8, 1896","September 14, 1973","Broomieknowe, Lasswade, Midlothian, Scotland",1896,1973.0
Eliza North,1848,,1848.0,,,Florence Eliza Allen,"October 4, 1876","December 31, 1960","Horicon, Wisconsin",1876,1960.0
Charles Allen,ca. 1836,1890,1836.0,1890.0,Lawyer,Florence Eliza Allen,"October 4, 1876","December 31, 1960","Horicon, Wisconsin",1876,1960.0
Clara Linton Brewster,1850,1933,1850.0,1933.0,School Teacher,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
Robert Edward Brewster,ca. 1840,1892,1840.0,1892.0,Farmer,Helen Barten Brewster Owens,"April 2, 1881","June 6, 1968","Pleasanton, Linn County, Kansas",1881,1968.0
Mabel Jane Thomas,1885,1963,1885.0,1963.0,"Dressmaker, Florist, Housewife",M. Gweneth Humphreys,"October 22, 1911","October 6, 2006","South Vancouver, British Columbia",1911,2006.0
Richard Humphreys,1880,1969,1880.0,1969.0,Machinist,M. Gweneth Humphreys,"October 22, 1911","October 6, 2006","South Vancouver, British Columbia",1911,2006.0
Julia Fellows,1840,1926,1840.0,1926.0,,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
Jefferson Coddington,1832,1876,1832.0,1876.0,Attorney,Emily Matilda Coddington Williams,"October 21, 1873","August 8, 1952",New York City,1873,1952.0
Dora Blanc,,,,,,Gertrude Blanch,"February 2, 1897","January 1, 1996","Kolno, Poland",1897,1996.0
Wolfe Kaimowitz,,1914,,,,Gertrude Blanch,"February 2, 1897","January 1, 1996","Kolno, Poland",1897,1996.0
Ella Kerr,1872,,1872.0,,,Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
Cassius Lincoln Babcock,1859,,1859.0,,Carpenter,Wealthy Consuelo Babcock,"November 18, 1895","April 10, 1990","Washington County, Kansas",1895,1990.0
Mary Campbell Van Horne,1883,1960,1883.0,1960.0,Unknown,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Walter Fletcher Murray,1873,1947,1873.0,1947.0,Insurance Broker,Grace Brewster Murray Hopper,"December 9, 1906","January 1, 1992","New York City, New York, USA",1906,1992.0
Jessie Marian (Bagg),1866,1933,1866.0,1933.0,,Elizabeth Morgan Cooper,"January 19, 1891","May 17, 1967","Syracuse, New York",1891,1967.0
Henry R. Cooper,1856,1928,1856.0,1928.0,Mechanical Engineer,Elizabeth Morgan Cooper,"January 19, 1891","May 17, 1967","Syracuse, New York",1891,1967.0
Marietta S. Fletcher,1840,1913,1840.0,1913.0,Teacher of English and modern languages,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
John Elbridge Sinclair,1838,1915,1838.0,1915.0,Professor of Mathematics,Mary Emily Sinclair,"September 27, 1878","June 3, 1955","Worcester, Massachusetts",1878,1955.0
Shien-Ying Chen,,,,,,Shu Ting Liu Hsia,"September 25, 1903","August 16, 1980","Beijing, China",1903,1980.0
Te-Yuang Liu,,,,,Railroad engineer,Shu Ting Liu Hsia,"September 25, 1903","August 16, 1980","Beijing, China",1903,1980.0
Mary Estella Swan,1866,1946,1866.0,1946.0,,Nola Lee Anderson Haynes,"January 9, 1897","December 21, 1996","Bucklin, Linn County, Missouri",1897,1996.0
Edward Lee Anderson,1867,1945,1867.0,1945.0,Farmer,Nola Lee Anderson Haynes,"January 9, 1897","December 21, 1996","Bucklin, Linn County, Missouri",1897,1996.0
Susan Matthews (Hotchkiss),ca. 1827,1915,1827.0,1915.0,,Grace Andrews,"May 30, 1869","July 27, 1951","Brooklyn, New York",1869,1951.0
Edward Gayer Andrews,1825,1907,1825.0,1907.0,Bishop of the Methodist Episcopal Church,Grace Andrews,"May 30, 1869","July 27, 1951","Brooklyn, New York",1869,1951.0
Julia Erickson,1860,1929,1860.0,1929.0,Farmer,Emma Julia Olson,"December 7, 1892","November 14, 1981","Fairview, South Dakota",1892,1981.0
Sven Olson,1848,1940,1848.0,1940.0,Farmer,Emma Julia Olson,"December 7, 1892","November 14, 1981","Fairview, South Dakota",1892,1981.0
Achsah A. (McQuiddy) Biddle,1848,,1848.0,,,Annie Dale Andrews (Biddle),"December 13, 1885","April 14, 1940","Hanford, California",1885,1940.0
Samuel Edward Biddle,1845,1908,1845.0,1908.0,"Grain dealer, later bank president and manager, active in public service",Annie Dale Andrews (Biddle),"December 13, 1885","April 14, 1940","Hanford, California",1885,1940.0
Anne Morison,1836,,1836.0,,,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
James Cummings,1821,,1821.0,,collector,Louise Duffield Cummings,"November 21, 1870","May 9, 1947","Hamilton, Ontario, Canada",1870,1947.0
Marion Cameron,,,,,,Marion Cameron Gray,"March 26, 1902","September 16, 1979","Ayr, Scotland",1902,1979.0
James Gray,,,,,,Marion Cameron Gray,"March 26, 1902","September 16, 1979","Ayr, Scotland",1902,1979.0
Katherine Riedelbauch,1868,1952,1868.0,1952.0,"Private teacher of piano and voice, choir director",Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
Richard Philip Baker,1866,1937,1866.0,1937.0,"Mathematician, educator",Frances Ellen Baker,"December 19, 1902","April 4, 1995","Anna, Illinois",1902,1995.0
Sabine Elowitch,1879,1958,1879.0,1958.0,Housewife,Edna Ernestine Kramer,"May 11, 1902","July 9, 1984","New York, New York",1902,1984.0
Joseph Kramer,1869,1949,1869.0,1949.0,Salesman of men's clothing,Edna Ernestine Kramer,"May 11, 1902","July 9, 1984","New York, New York",1902,1984.0
Mary Jane Anderson,circa 1829,,1829.0,,,Ada Isabel Maddison,"April 13, 1869","October 22, 1950","Whitehaven, Cumberland, England",1869,1950.0
John Maddison,circa 1826,,1826.0,,Civil servant,Ada Isabel Maddison,"April 13, 1869","October 22, 1950","Whitehaven, Cumberland, England",1869,1950.0
Kate Bassett (Pond),1850,1932,1850.0,1932.0,,Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Samuel Eugene Wood,ca. 1844,1891,1844.0,1891.0,"Bookkeeper, Manager of the yarn department of a manufacturing company",Ruth Goulding Wood,"January 29, 1875","May 5, 1939","Central Falls, Rhode Island",1875,1939.0
Mary Wagner,1862,1933,1862.0,1933.0,Farmer,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
Joseph Schulte,1860,1940,1860.0,1940.0,Farmer,Sister M. Leontius Schulte,"September 4, 1901","March 20, 2000","Cleveland, Wisconsin",1901,2000.0
Alice Gray Bothwell,ca. 1866,1958,1866.0,1958.0,Wellesley College class of 1890,Dorothy Bothwell Kohlmetz,"January 25, 1906","December 18, 1941","Albany, New York",1906,1941.0
George William Kohlmetz,ca. 1870,ca. 1949,1870.0,1949.0,"Purchasing agent for the Cleveland Twist Drill Company, author of bibliographical notes",Dorothy Bothwell Kohlmetz,"January 25, 1906","December 18, 1941","Albany, New York",1906,1941.0
Mary Wallace (Abdill),1874,1918,1874.0,1918.0,Homemaker,Roberta Frances Johnson,"January 22, 1902","October 12, 1988","Philadelphia, Pennsylvania",1902,1988.0
Jesse B. Johnson,1875,1936,1875.0,1936.0,Mechanic/Machinist,Roberta Frances Johnson,"January 22, 1902","October 12, 1988","Philadelphia, Pennsylvania",1902,1988.0
Mary Virginia King,1867,1956,1867.0,1956.0,,Fannie Wilson Boyce,"March 16, 1897","February 13, 1986","Near Lentner, Shelby County, Missouri",1897,1986.0
George Wesley Boyce,1866,1942,1866.0,1942.0,"Farmer, later a grocer",Fannie Wilson Boyce,"March 16, 1897","February 13, 1986","Near Lentner, Shelby County, Missouri",1897,1986.0
Agnes M. Roche,1875,,1875.0,,Teacher,Dorothy Elizabeth Brady (Stahl),"June 14, 1903","April 17, 1977","Elk River, Minnesota",1903,1977.0
Henry V. Stahl,1875,,1875.0,,"Teacher, later Insurance Agent",Dorothy Elizabeth Brady (Stahl),"June 14, 1903","April 17, 1977","Elk River, Minnesota",1903,1977.0
Sophie Catherine Schick,1874,1953,1874.0,1953.0,Elementary School Teacher,Adrienne Sophie Rayl,"September 25, 1898","November 27, 1989","New Orleans, Louisiana",1898,1989.0
James John Rayl,1871,1952,1871.0,1952.0,Postal Employee,Adrienne Sophie Rayl,"September 25, 1898","November 27, 1989","New Orleans, Louisiana",1898,1989.0
Helen Metcalf Hunt,1855,,1855.0,,Matron of Shepardson College for Women,Mildred Hunt,"May 8, 1888","December 14, 1975","Fairport, New York",1888,1975.0
Horace Holmes Hunt,1852,1897,1852.0,1897.0,Baptist Minister,Mildred Hunt,"May 8, 1888","December 14, 1975","Fairport, New York",1888,1975.0
Sarah Schondorf,1886,1961,1886.0,1961.0,Housewife,Rosella Kanarik,"February 7, 1909",,"Bartfa, Hungary",1909,
Albert Kanarik,1874,1960,1874.0,1960.0,Businessman,Rosella Kanarik,"February 7, 1909",,"Bartfa, Hungary",1909,
Jessie Gordon,1860,1933,1860.0,1933.0,,Anna Margaret Catherine Grant,"June 22, 1903","February 23, 1984","Springville, Pictou County, Nova Scotia, Canada",1903,1984.0
Angus MacGillivray Grant,1854,1935,1854.0,1935.0,Foreman in weaving mills,Anna Margaret Catherine Grant,"June 22, 1903","February 23, 1984","Springville, Pictou County, Nova Scotia, Canada",1903,1984.0
Belle Frances Arbour,1866,1954,1866.0,1954.0,,Gladys Elizabeth Corson Gibbens,"January 21, 1893","September 24, 1983","New Orleans, Louisiana",1893,1983.0
William Joseph Gibbens,1864,1934,1864.0,1934.0,Engineer,Gladys Elizabeth Corson Gibbens,"January 21, 1893","September 24, 1983","New Orleans, Louisiana",1893,1983.0
Josephine Thuener,1861,,1861.0,,,Eleanor Margaret Thuener,"October 25, 1880","September 29, 1977","Allegheny, Pennsylvania",1880,1977.0
August Thuener,1856,,1856.0,,Driver/Brewery Driver,Eleanor Margaret Thuener,"October 25, 1880","September 29, 1977","Allegheny, Pennsylvania",1880,1977.0
Nan Belle Farmer,1857,1892,1857.0,1892.0,,Mayme Irwin Logsdon,"February 1, 1881","July 4, 1967","Elizabethtown, Kentucky",1881,1967.0
James David Irwin,1852,1921,1852.0,1921.0,Attorney,Mayme Irwin Logsdon,"February 1, 1881","July 4, 1967","Elizabethtown, Kentucky",1881,1967.0
Christiana M. Abele,1859,,1859.0,,,Hazel Edith Schoonmaker Wilson,"October 31, 1888","April 23, 1988","Philadelphia, Pennsylvania",1888,1988.0
Arthur Twing Schoonmaker,1860,,1860.0,,"homeopathist, physician, and surgeon",Hazel Edith Schoonmaker Wilson,"October 31, 1888","April 23, 1988","Philadelphia, Pennsylvania",1888,1988.0
Bertha Beatrice Williams,1877,1935,1877.0,1935.0,Musician and singer,Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Clyde Bruce Aitchison,1875,1962,1875.0,1962.0,Lawyer,Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Evangeline K. Flagg,1877,1966,1877.0,1966.0,,Elizabeth Stafford Hirschfelder,"April 25, 1902","September 29, 2002","Providence, Rhode Island",1902,2002.0
Arthur Ervin Stafford,1875,,1875.0,,Banker,Elizabeth Stafford Hirschfelder,"April 25, 1902","September 29, 2002","Providence, Rhode Island",1902,2002.0
Lena Silverman,ca. 1885,1972,1885.0,1972.0,,Miriam Freda Mazur (Becker),"March 30, 1909","March 5, 2000","New York, New York",1909,2000.0
Joseph David Becker,ca. 1883,1947,1883.0,1947.0,Life insurance salesman,Miriam Freda Mazur (Becker),"March 30, 1909","March 5, 2000","New York, New York",1909,2000.0
Tillie Loyev (later Lewis),1887,1969,1887.0,1969.0,,Dorothy L. Bernstein,"April 11, 1914","February 5, 1988","Chicago, Illinois",1914,1988.0
Jacob Louis Bernstein,1880,1956,1880.0,1956.0,Dairy Business Owner,Dorothy L. Bernstein,"April 11, 1914","February 5, 1988","Chicago, Illinois",1914,1988.0
Ida Jane Taylor,1868,ca. 1940,1868.0,1940.0,,Laura Louise Rosenbaum,"January 21, 1908","January 16, 1980","Carrollton, Illinois",1908,1980.0
William Foster Johnson,1868,ca. 1939,1868.0,1939.0,,Laura Louise Rosenbaum,"January 21, 1908","January 16, 1980","Carrollton, Illinois",1908,1980.0
Elizabeth Neef,1879,1975,1879.0,1975.0,,Marguerite Lenore Hedberg,"August 27, 1907","August 27, 2002","Kirksville, Missouri",1907,2002.0
William Henry Zeigel,1875,1947,1875.0,1947.0,Dean and Head of the Department of Education at Delta State Teachers College,Marguerite Lenore Hedberg,"August 27, 1907","August 27, 2002","Kirksville, Missouri",1907,2002.0
